"customerID;""gender"";""SeniorCitizen"";""Partner"";""Dependents"";""tenure"";""PhoneService"";""MultipleLines"";""InternetService"";""OnlineSecurity"";""OnlineBackup"";""DeviceProtection"";""TechSupport"";""StreamingTV"";""StreamingMovies"";""Contract"";""PaperlessBilling"";""PaymentMethod"";""MonthlyCharges"";""TotalCharges"";""Churn""",,
"6292-TOSSS;""Male"";0;""No"";""No"";50;""Yes"";""Yes"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Two year"";""No"";""Bank transfer (automatic)"";24",9;1195,"25;""No"""
"3197-ARFOY;""Female"";1;""No"";""No"";19;""Yes"";""No"";""Fiber optic"";""Yes"";""Yes"";""No"";""Yes"";""Yes"";""Yes"";""Month-to-month"";""Yes"";""Mailed check"";105;2007","25;""No""",
"7014-ZZXAW;""Female"";0;""Yes"";""No"";71;""Yes"";""Yes"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Two year"";""Yes"";""Credit card (automatic)"";24",25;1732,"95;""No"""
"7633-MVPUY;""Male"";0;""Yes"";""No"";57;""Yes"";""No"";""DSL"";""Yes"";""Yes"";""No"";""Yes"";""No"";""No"";""Two year"";""Yes"";""Electronic check"";59",75;3450,"15;""No"""
"4716-HHKQH;""Male"";1;""Yes"";""No"";20;""Yes"";""Yes"";""Fiber optic"";""No"";""Yes"";""No"";""Yes"";""Yes"";""Yes"";""Month-to-month"";""No"";""Electronic check"";107",05;2172,"05;""No"""
"3179-GBRWV;""Male"";1;""Yes"";""No"";21;""Yes"";""No"";""DSL"";""Yes"";""Yes"";""No"";""No"";""No"";""Yes"";""Month-to-month"";""Yes"";""Bank transfer (automatic)"";64",95;1339,"8;""No"""
"8645-KWHJO;""Male"";0;""No"";""No"";14;""No"";""No phone service"";""DSL"";""No"";""No"";""Yes"";""Yes"";""Yes"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";55;771","95;""No""",
"4130-MZLCC;""Female"";0;""No"";""No"";5;""Yes"";""No"";""DSL"";""No"";""Yes"";""No"";""No"";""No"";""No"";""Month-to-month"";""No"";""Bank transfer (automatic)"";50",55;244,"75;""No"""
"0314-TKOSI;""Female"";0;""No"";""No"";6;""Yes"";""No"";""DSL"";""Yes"";""Yes"";""No"";""No"";""No"";""No"";""Month-to-month"";""No"";""Mailed check"";55",15;322,"9;""No"""
"8229-MYEJZ;""Female"";0;""No"";""No"";10;""Yes"";""No"";""DSL"";""No"";""Yes"";""No"";""No"";""No"";""No"";""Month-to-month"";""No"";""Electronic check"";51",2;498,"25;""No"""
"2080-SRCDE;""Female"";0;""No"";""Yes"";1;""Yes"";""Yes"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Month-to-month"";""No"";""Mailed check"";25",4;25,"4;""No"""
"9577-WJVCQ;""Female"";0;""No"";""No"";68;""Yes"";""Yes"";""DSL"";""Yes"";""No"";""No"";""No"";""No"";""No"";""Month-to-month"";""No"";""Mailed check"";54",45;3687,"75;""No"""
"6202-DYYFX;""Female"";0;""No"";""No"";22;""Yes"";""Yes"";""Fiber optic"";""No"";""No"";""No"";""No"";""No"";""No"";""One year"";""Yes"";""Credit card (automatic)"";76;1783","6;""No""",
"3808-HFKDE;""Female"";0;""No"";""No"";20;""Yes"";""No"";""DSL"";""No"";""No"";""No"";""No"";""No"";""No"";""Month-to-month"";""Yes"";""Electronic check"";44",35;927,"15;""No"""
"3727-OWVYD;""Male"";0;""No"";""No"";35;""Yes"";""No"";""DSL"";""Yes"";""Yes"";""Yes"";""No"";""No"";""No"";""One year"";""No"";""Mailed check"";61",2;2021,"2;""No"""
"2294-SALNE;""Male"";0;""Yes"";""Yes"";23;""Yes"";""No"";""Fiber optic"";""No"";""Yes"";""Yes"";""Yes"";""No"";""No"";""One year"";""No"";""Mailed check"";86",8;1940,"8;""No"""
"4847-TAJYI;""Female"";1;""No"";""No"";6;""Yes"";""No"";""Fiber optic"";""No"";""No"";""No"";""No"";""Yes"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";89",35;567,"8;""No"""
"1563-IWQEX;""Female"";0;""No"";""No"";12;""Yes"";""No"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Month-to-month"";""No"";""Mailed check"";19",7;220,"35;""No"""
"8203-XJZRC;""Male"";0;""No"";""No"";1;""Yes"";""No"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Month-to-month"";""No"";""Mailed check"";20",25;20,"25;""No"""
"6556-DBKZF;""Female"";0;""Yes"";""Yes"";71;""Yes"";""No"";""Fiber optic"";""No"";""No"";""Yes"";""No"";""No"";""No"";""Two year"";""No"";""Electronic check"";76",05;5436,"45;""No"""
"6851-WEFYX;""Male"";1;""Yes"";""No"";35;""Yes"";""Yes"";""Fiber optic"";""No"";""No"";""Yes"";""No"";""Yes"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";100",8;3437,"5;""No"""
"2985-JUUBZ;""Male"";0;""Yes"";""Yes"";40;""Yes"";""Yes"";""DSL"";""No"";""No"";""Yes"";""No"";""Yes"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";74",55;3015,"75;""No"""
"0895-LMRSF;""Male"";0;""No"";""No"";23;""Yes"";""No"";""DSL"";""No"";""No"";""No"";""No"";""Yes"";""Yes"";""One year"";""Yes"";""Bank transfer (automatic)"";64",9;1509,"8;""No"""
"8266-VBFQL;""Male"";0;""No"";""No"";4;""Yes"";""No"";""Fiber optic"";""No"";""No"";""Yes"";""Yes"";""No"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";90",4;356,"65;""No"""
"8181-YHCMF;""Female"";0;""Yes"";""Yes"";68;""No"";""No phone service"";""DSL"";""No"";""Yes"";""Yes"";""Yes"";""Yes"";""Yes"";""Two year"";""No"";""Credit card (automatic)"";60","3;4109;""No""",
"2240-HSJQD;""Male"";0;""No"";""Yes"";38;""Yes"";""Yes"";""Fiber optic"";""No"";""Yes"";""No"";""No"";""No"";""No"";""Month-to-month"";""Yes"";""Mailed check"";81",85;3141,"7;""No"""
"1248-DYXUB;""Male"";0;""Yes"";""Yes"";52;""Yes"";""Yes"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Two year"";""No"";""Mailed check"";24",8;1229,"1;""No"""
"4115-BNPJY;""Male"";0;""Yes"";""Yes"";29;""Yes"";""No"";""DSL"";""No"";""No"";""Yes"";""Yes"";""Yes"";""Yes"";""Two year"";""No"";""Mailed check"";75",55;2054,"4;""No"""
"3167-SNQPL;""Male"";1;""Yes"";""Yes"";38;""Yes"";""Yes"";""Fiber optic"";""No"";""Yes"";""No"";""No"";""Yes"";""Yes"";""Month-to-month"";""No"";""Electronic check"";101",15;3741,"85;""No"""
"4091-TVOCN;""Male"";0;""No"";""Yes"";48;""Yes"";""Yes"";""DSL"";""Yes"";""No"";""Yes"";""No"";""Yes"";""Yes"";""One year"";""Yes"";""Credit card (automatic)"";78",75;3682,"45;""No"""
"1098-TDVUQ;""Female"";0;""No"";""No"";1;""Yes"";""No"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Month-to-month"";""Yes"";""Bank transfer (automatic)"";19",25;19,"25;""No"""
"7277-OZCGZ;""Female"";0;""No"";""No"";22;""Yes"";""No"";""Fiber optic"";""Yes"";""No"";""No"";""Yes"";""No"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";89",05;1886,"25;""No"""
"1557-EMYVT;""Female"";0;""No"";""No"";43;""Yes"";""Yes"";""Fiber optic"";""Yes"";""Yes"";""Yes"";""Yes"";""Yes"";""Yes"";""Two year"";""No"";""Credit card (automatic)"";115",05;4895,"1;""No"""
"2799-ARNLO;""Female"";1;""Yes"";""No"";5;""Yes"";""No"";""Fiber optic"";""No"";""No"";""No"";""No"";""No"";""No"";""Month-to-month"";""Yes"";""Electronic check"";69",35;341,"6;""No"""
"5027-YOCXN;""Male"";0;""Yes"";""Yes"";51;""Yes"";""Yes"";""Fiber optic"";""Yes"";""Yes"";""No"";""Yes"";""Yes"";""Yes"";""One year"";""No"";""Credit card (automatic)"";110",05;5686,"4;""No"""
"3973-SKMLN;""Male"";0;""No"";""No"";71;""Yes"";""No"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""Two year"";""Yes"";""Credit card (automatic)"";19",9;1355,"1;""No"""
"6745-JEFZB;""Male"";0;""Yes"";""No"";35;""Yes"";""Yes"";""Fiber optic"";""No"";""No"";""No"";""Yes"";""Yes"";""No"";""Month-to-month"";""Yes"";""Credit card (automatic)"";91",5;3236,"35;""No"""
"9880-TDQAC;""Female"";0;""Yes"";""Yes"";72;""No"";""No phone service"";""DSL"";""No"";""Yes"";""Yes"";""Yes"";""Yes"";""Yes"";""Two year"";""Yes"";""Electronic check"";60;4264;""No""",,
"8705-WZCYL;""Male"";0;""No"";""No"";1;""Yes"";""No"";""DSL"";""No"";""No"";""No"";""No"";""No"";""No"";""Month-to-month"";""Yes"";""Electronic check"";44",8;44,"8;""No"""
